date,expiryDate,underlyingValue,strikePrice,impliedVolatility,lastPrice,bsm_model_price,moneyness,underpriced/overpriced,buy/sell
23-May-2024,27-Jun-2024,22805.3,21000,17.14,2060.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21100,16.42,1948.4,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21500,18.84,1601.35,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21600,17.76,1503.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21700,17.96,1400.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21750,10.11,1247.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21800,18.64,1346.5,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21850,18.13,1260.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21900,18.58,1262.1,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,21950,14.87,1121.75,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22000,19.3,1210.25,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22050,15.91,1059.2,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22100,18.07,1134.9,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22150,17.85,1091.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22200,18.79,1051.7,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22250,18.38,1013.95,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22300,18.7,980.95,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22350,18.33,938.5,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22400,18.43,909.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22450,18.46,874.05,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22500,18.42,847.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22550,18.05,800.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22600,18.42,773.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22650,17.89,740.55,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22700,18.41,717.3,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22750,18.28,679.95,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22800,18.19,653.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22850,18.13,625.5,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22900,18.06,595.65,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,22950,17.99,562.7,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23000,18.04,539.95,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23050,17.51,485.05,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23100,17.72,488.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23150,17.3,417.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23200,17.71,437.75,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23250,17.19,372.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23300,17.51,393.55,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23350,17.33,354.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23400,17.51,353.05,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23500,17.56,316.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23550,17.38,296.9,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23600,17.39,279.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23650,17.55,236.8,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23700,17.27,242.65,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23750,17.28,218.85,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23800,17.29,215.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23850,17.22,186.05,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23900,17.34,190.5,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,23950,17.2,165.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24000,17.41,169.45,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24050,17.08,149.9,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24100,17.3,146.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24150,17.1,133.15,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24200,17.43,128.55,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24250,17.39,119.2,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24300,17.41,110.8,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24350,17.43,105.0,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24400,17.48,98.4,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24450,17.52,87.25,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,24500,17.54,85.2,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,25000,18.53,48.6,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,26000,20.99,19.05,0.0,-,-,-
23-May-2024,27-Jun-2024,22805.3,27000,23.97,10.2,0.0,-,-,-
